Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 69, 1,    42165.3,   -0.1,    1.0584, 2,    42165.3, -120.1,    1.0584, 3,    42165.3,  119.9,    1.0584
"2", 69, 1,    36565.9,   -6.9,   0.91788, 2,    36565.9, -126.9,   0.91788, 3,    36565.9,  113.1,   0.91788
"5", 69, 1,    33421.6,  -12.1,   0.83896, 2,    33421.6, -132.1,   0.83896, 3,    33421.6,  107.9,   0.83896
"1", 13.8, 1,    5603.36,  -29.0,   0.70328, 2,    5603.36, -149.0,   0.70328, 3,    5603.36,   91.0,   0.70328
"9", 13.8, 1,    5603.36,  -29.0,   0.70328, 2,    5603.36, -149.0,   0.70328, 3,    5603.36,   91.0,   0.70328
"3", 69, 1,    31145.2,  -19.9,   0.78181, 2,    31145.2, -139.9,   0.78181, 3,    31145.2,  100.1,   0.78181
"4", 69, 1,    32657.2,  -14.4,   0.81977, 2,    32657.2, -134.4,   0.81977, 3,    32657.2,  105.6,   0.81977
"6", 13.8, 1,    6133.11,  -24.7,   0.76977, 2,    6133.11, -144.7,   0.76977, 3,    6133.11,   95.3,   0.76977
"12", 13.8, 1,    5953.13,  -27.0,   0.74718, 2,    5953.13, -147.0,   0.74718, 3,    5953.13,   93.0,   0.74718
"13", 13.8, 1,    5860.84,  -27.3,    0.7356, 2,    5860.84, -147.3,    0.7356, 3,    5860.84,   92.7,    0.7356
"11", 13.8, 1,    5841.88,  -26.8,   0.73322, 2,    5841.88, -146.8,   0.73322, 3,    5841.88,   93.2,   0.73322
"10", 13.8, 1,    5657.45,  -28.4,   0.71007, 2,    5657.45, -148.4,   0.71007, 3,    5657.45,   91.6,   0.71007
"14", 13.8, 1,    5508.69,  -30.3,    0.6914, 2,    5508.69, -150.3,    0.6914, 3,    5508.69,   89.7,    0.6914
"7", 13.8, 1,    6679.09,  -14.3,    0.8383, 2,    6679.09, -134.3,    0.8383, 3,    6679.09,  105.7,    0.8383
"8", 18, 1,    8538.44,  -14.2,   0.82161, 2,    8538.44, -134.2,   0.82161, 3,    8538.44,  105.8,   0.82161
